id,nama_wisata,kategori,kota,alamat,deskripsi,gambar,fitur,fitur_bersih,latitude,longitude,jam_buka,jam_tutup,rating,telepon,website,harga_tiket,sumber_data,tanggal_verifikasi,combined_text
2,Pantai Watu Ulo,Pantai,Jember,"Sumberrejo, Kec. Ambulu, Kabupaten Jember, Jawa Timur 68172","Pantai Watu Ulo, sebuah destinasi wisata pantai yang terletak di Sumberrejo, Kec. Ambulu, Kabupaten Jember, Jawa Timur, menawarkan pengalaman liburan yang tak terlupakan bagi para pengunjung. Lokasinya yang strategis, berada di kawasan pantai Jember, menjadikan Pantai Watu Ulo sebagai salah satu tujuan wisata favorit di daerah ini. Pantai yang terkenal dengan keindahan alamnya ini menawarkan pemandangan yang sangat menakjubkan, dengan ombak yang tenang dan pasir putih yang lembut.

Suasana di Pantai Watu Ulo sangat menenangkan, dengan suasana yang sejuk dan lembut. Pagi hari, pengunjung dapat menikmati pemandangan matahari terbit yang sangat indah, sementara sore hari, mereka dapat menikmati pemandangan matahari terbenam yang juga sangat spektakuler. Selain itu, pengunjung juga dapat menikmati keindahan alam lainnya, seperti pohon kelapa yang hijau dan lebat, serta gugusan batu karang yang menyerupai pulau kecil. Aktivitas yang bisa dilakukan di Pantai Watu Ulo sangat beragam, mulai dari berenang, bermain pasir, berjalan-jalan di tepi pantai, hingga berburu foto dengan pemandangan yang sangat menarik.

Selain itu, Pantai Watu Ulo juga menawarkan beberapa fasilitas yang sangat memadai, seperti tempat parkir yang luas, toilet dan shower yang bersih, serta warung makan yang menyajikan hidangan lokal yang lezat. Pengunjung juga dapat menikmati kegiatan snorkeling atau diving untuk melihat keindahan bawah laut, serta menikmati kegiatan olahraga air lainnya, seperti surfing atau kayak. Dengan segala keindahan alam dan fasilitas yang ditawarkan, Pantai Watu Ulo merupakan destinasi wisata pantai yang sangat wajib dikunjungi bagi para pengunjung yang ingin menikmati liburan yang tak terlupakan di Jawa Timur.",assets/images/2.png,"Pantai Watu Ulo Pantai Pantai Jember Sumberrejo, Kec. Ambulu, Kabupaten Jember, Jawa Timur 68172 Pantai Watu Ulo terkenal karena batu karang panjang yang menyerupai ular (watu = batu, ulo = ular) yang menjulur ke laut, menjadi ikon khas pantai ini. Terletak di pesisir selatan Jember, pantai ini menghadirkan perpaduan pasir gelap, laut yang biru kehijauan, serta latar bukit hijau. Selain berenang, pengunjung bisa menikmati suasana matahari terbit/terbenam, camping, dan wisata kuliner lokal di warung-warung pantai.",pantai watu ulo pantai pantai jember sumberrejo kec ambulu kabupaten jember jawa timur pantai watu ulo terkenal batu karang panjang menyerupai ular watu batu ulo ular menjulur laut menjadi ikon khas pantai terletak pesisir selatan jember pantai menghadirkan perpaduan pasir gelap laut biru kehijauan latar bukit hijau selain berenang pengunjung bisa menikmati suasana matahari terbit terbenam camping wisata kuliner lokal warung warung pantai,-8.3897,113.5786,Buka 24 jam,Buka 24 jam,[Unverified],[Unverified],[Unverified],Rp 10.000,"Google Maps, Traveloka",2026-07-20,Tidak ada data
56,Teluk Love,Rekreasi,Jember,"Jl. Ambulu - Watu Ulo, Sido Mulyo, Sumberrejo, Kec. Ambulu, Kabupaten Jember, Jawa Timur 68162","Teluk Love adalah destinasi wisata rekreasi yang terletak di Jl. Ambulu - Watu Ulo, Sido Mulyo, Sumberrejo, Kec. Ambulu, Kabupaten Jember, Jawa Timur 68162. Lokasinya yang strategis dan indah membuat Teluk Love menjadi salah satu tujuan wisata favorit di Jember. Destinasi wisata ini menawarkan keindahan alam yang luar biasa, dengan pantai yang berpasir putih dan air laut yang biru jernih.

Suasana di Teluk Love sangat tenang dan damai, cocok untuk Anda yang ingin menghilangkanstress dan menikmati keindahan alam. Pemandangan di sekitar Teluk Love sangatlah menakjubkan, dengan bukit-bukit hijau yang menjulang tinggi di sekeliling pantai. Di pagi hari, Anda dapat menikmati matahari terbit yang indah sambil menikmati udara segar yang bertiup dari laut. Sementara itu, di sore hari, Anda dapat menikmati keindahan matahari terbenam yang sangat indah. Selain itu, Teluk Love juga menawarkan berbagai aktivitas yang dapat Anda lakukan, seperti berenang, bermain pasir, berjalan-jalan di pantai, dan berfoto-foto dengan latar belakang keindahan alam yang ada di sekitar Teluk Love.

Selain keindahan alam dan suasana yang tenang, Teluk Love juga menawarkan berbagai fasilitas yang dapat memanjakan Anda. Fasilitas yang tersedia di Teluk Love antara lain, warung makan, toilet, dan tempat parkir yang luas. Selain itu, Teluk Love juga menawarkan berbagai paket wisata yang dapat Anda pilih, seperti paket wisata romantis, paket wisata keluarga, dan paket wisata untuk grup. Dengan demikian, Anda dapat menikmati keindahan alam Teluk Love dengan nyaman dan aman.",https://numbness-afterglow-parade.ngrok-free.dev/images/1785844406.934531_teluk_(1).jpg,Teluk Love Rekreasi Jember,teluk love rekreasi jember,-8.3974,113.5658,06:00,17:00,[Unverified],[Unverified],[Unverified],0,Google Maps,2026-07-20,"Teluk Love Rekreasi Teluk Love adalah spot wisata ikonik di kawasan Pantai Payangan, Jember, yang terkenal karena garis pantainya yang secara alami membentuk simbol hati (Love) jika dilihat dari ketinggian."
1,Puncak Rembangan Resort,Rekreasi,Jember,"Darungan, Kemuning Lor, Kec. Arjasa, Kabupaten Jember, Jawa Timur","Puncak Rembangan Resort merupakan destinasi wisata rekreasi yang menawarkan pengalaman liburan yang tak terlupakan di Jawa Timur. Terletak di Darungan, Kemuning Lor, Kec. Arjasa, Kabupaten Jember, lokasi ini menawarkan pemandangan alam yang indah dan suasana yang tenang. Dengan luas areal yang sangat luas dan dilengkapi dengan fasilitas yangmodern, Puncak Rembangan Resort siap memanjakan Anda dengan pengalaman liburan yang tak terlupakan.

Dengan ketinggian yang mencapai 800 meter di atas permukaan laut, Puncak Rembangan Resort menawarkan pemandangan alam yang sangat indah dan menakjubkan. Anda dapat menikmati pemandangan hutan hujan yang hijau, bukit-bukit yang menantang, dan keindahan Gunung Ijen yang mengesankan. Selain itu, lokasi ini juga menawarkan suasana yang tenang dan damai, membuat Anda merasa nyaman dan santai. Di sini, Anda dapat melakukan berbagai aktivitas seperti hiking, bersepeda, dan berjalan-jalan menyusuri hutan. Selain itu, Anda juga dapat menikmati fasilitas rekreasi seperti kolam renang, taman bermain, dan pusat kebugaran.

Puncak Rembangan Resort juga menawarkan berbagai fasilitas yang lengkap untuk memenuhi kebutuhan Anda. Fasilitas ini mencakup akomodasi yang nyaman, restoran yang menyajikan hidangan lezat, dan pusat rekreasi yang menyajikan berbagai aktivitas. Selain itu, lokasi ini juga menawarkan paket wisata yang dapat Anda pilih sesuai dengan kebutuhan dan budget Anda. Dengan demikian, Puncak Rembangan Resort menjadi destinasi wisata rekreasi yang sangat cocok untuk Anda yang mencari pengalaman liburan yang tak terlupakan di Jawa Timur.",assets/images/1.png,"Puncak Rembangan Resort Rekreasi Rekreasi Jember Darungan, Kemuning Lor, Kec. Arjasa, Kabupaten Jember, Jawa Timur Puncak Rembangan adalah destinasi wisata pegunungan di Jember yang menawarkan udara sejuk, panorama alam nan memesona, serta fasilitas lengkap seperti kolam renang, area bermain, camping ground, dan kebun buah (termasuk kebun naga). Lokasi di ketinggian sekitar 600–650 m dpl memungkinkan pengunjung menikmati pemandangan alam dan cahaya kota di malam hari. Cocok untuk healing, liburan keluarga, maupun piknik romantis.",puncak rembangan resort rekreasi rekreasi jember darungan kemuning lor kec arjasa kabupaten jember jawa timur puncak rembangan destinasi wisata pegunungan jember menawarkan udara sejuk panorama alam nan memesona fasilitas lengkap kolam renang area bermain camping ground kebun buah termasuk kebun naga lokasi ketinggian sekitar dpl memungkinkan pengunjung menikmati pemandangan alam cahaya kota malam hari cocok healing liburan keluarga maupun piknik romantis,-8.0933,113.6823,08:00,16:00,[Unverified],[Unverified],[Unverified],Rp 15.000,"Google Maps, Situs Resmi Pariwisata",2026-07-20,Tidak ada data
3,Puslit Kopi & Kakao Indonesia,Agrowisata,Jember,"Puslitkoka Renteng, Gebang, Nogosari, Kec. Rambipuji, Kabupaten Jember, Jawa Timur 68175","Puslit Kopi & Kakao Indonesia di Jember adalah sebuah destinasi wisata agrowisata yang menawarkan pengalaman unik dan edukatif bagi pengunjung. Terletak di Puslitkoka Renteng, Gebang, Nogosari, Kec. Rambipuji, Kabupaten Jember, Jawa Timur, tempat ini merupakan pusat penelitian dan pengembangan kopi dan kakao yang terintegrasi dengan kegiatan wisata. 

Di Puslit Kopi & Kakao Indonesia, pengunjung dapat menikmati suasana alam yang sejuk dan asri, dengan pemandangan hutan kopi dan kakao yang luas. Mereka dapat melihat langsung proses pengolahan kopi dan kakao dari biji hingga menjadi produk akhir. Selain itu, pengunjung juga dapat mengikuti berbagai aktivitas menarik, seperti berjalan-jalan di taman kopi dan kakao, mengunjungi laboratorium penelitian, dan bahkan mengikuti workshop pembuatan kopi dan kakao. Puslit Kopi & Kakao Indonesia juga menawarkan fasilitas yang lengkap, seperti restoran, toko souvenir, dan area parkir yang luas.

Pengunjung juga dapat mengikuti berbagai program edukatif dan pelatihan yang disediakan oleh pusat penelitian ini. Mereka dapat belajar tentang cara mengenal dan membedakan jenis-jenis kopi dan kakao, serta cara memasak dan mengolah produk-produk kopi dan kakao. Selain itu, pengunjung juga dapat mengikuti program ""Hari Kopi dan Kakao"" yang menawarkan berbagai kegiatan menarik, seperti kompetisi kopi dan kakao, konser musik, dan pameran produk-produk kopi dan kakao. Dengan demikian, Puslit Kopi & Kakao Indonesia menjadi destinasi wisata agrowisata yang sangat menarik dan edukatif bagi pengunjung dari berbagai kalangan.",assets/images/3.png,"Puslit Kopi & Kakao Indonesia Agrowisata Agrowisata Jember Puslitkoka Renteng, Gebang, Nogosari, Kec. Rambipuji, Kabupaten Jember, Jawa Timur 68175 Pusat Penelitian Kopi dan Kakao (Puslitkoka) ini adalah objek agrowisata di Jember yang memungkinkan pengunjung belajar langsung siklus budidaya kopi dan kakao — mulai dari biji, pemeliharaan tanaman, proses fermentasi, hingga pasca panen. Ada area kebun, jalur edukasi, serta demo proses pengolahan kopi lokal khas Jember.",puslit kopi kakao indonesia agrowisata agrowisata jember puslitkoka renteng gebang nogosari kec rambipuji kabupaten jember jawa timur pusat penelitian kopi kakao puslitkoka objek agrowisata jember memungkinkan pengunjung belajar langsung siklus budidaya kopi kakao mulai biji pemeliharaan tanaman proses fermentasi hingga pasca panen area kebun jalur edukasi demo proses pengolahan kopi lokal khas jember,-8.2341,113.619,08:00,15:00,[Unverified],[Unverified],[Unverified],Rp 20.000,"Google Maps, Situs Resmi Puslitkoka",2026-07-20,Tidak ada data
4,Bin Cigar,Edukasi,Jember,"Jl. Brawijaya No.3, Krajan, Jubung, Kec. Sukorambi, Kabupaten Jember, Jawa Timur 68151","Bin Cigar adalah sebuah destinasi wisata edukasi yang terletak di Jl. Brawijaya No.3, Krajan, Jubung, Kec. Sukorambi, Kabupaten Jember, Jawa Timur 68151. Tempat ini menawarkan pengalaman yang unik dan menarik bagi pengunjung, terutama bagi mereka yang tertarik dengan sejarah dan budaya Jawa. Bin Cigar dipilih sebagai salah satu destinasi wisata edukasi karena memiliki koleksi barang-barang kuno dan bersejarah yang sangat lengkap dan autentik.

Suasana di Bin Cigar sangat nyaman dan tenang, dengan suasana yang sejuk dan teduh. Tempat ini memiliki ruang yang luas dan nyaman untuk berjalan-jalan dan menikmati koleksi barang-barang kuno yang dipamerkan. Pemandangan di sekitar Bin Cigar juga sangat indah, dengan pemandangan alam yang hijau dan rindang. Pengunjung dapat menikmati pemandangan alam tersebut dari jendela-jendela yang dibuat khusus untuk melihat ke luar. Aktivitas yang bisa dilakukan di Bin Cigar antara lain menonton film dokumenter tentang sejarah dan budaya Jawa, mengunjungi ruang pameran yang dipenuhi dengan koleksi barang-barang kuno, dan berpartisipasi dalam kegiatan edukasi yang diselenggarakan oleh tim Bin Cigar. Selain itu, pengunjung juga dapat menikmati hidangan tradisional Jawa yang lezat dan segar di restoran yang terletak di dalam kompleks Bin Cigar.

Bin Cigar juga menjadi salah satu destinasi wisata edukasi yang sangat populer di Jember karena memiliki koleksi barang-barang kuno yang sangat lengkap dan autentik. Koleksi barang-barang kuno tersebut meliputi senjata, perhiasan, dan benda-benda lainnya yang memiliki nilai sejarah dan budaya yang sangat tinggi. Dengan demikian, Bin Cigar menjadi salah satu destinasi wisata edukasi yang wajib dikunjungi bagi mereka yang tertarik dengan sejarah dan budaya Jawa.",assets/images/4.png,"Bin Cigar Edukasi Edukasi Jember Jl. Brawijaya No.3, Krajan, Jubung, Kec. Sukorambi, Kabupaten Jember, Jawa Timur 68151 Bin Cigar adalah tempat edukasi/museum rokok/cigar (tergantung spesifikasi lokal) yang memperlihatkan sejarah industri tembakau di Jember, teknik pengolahan tembakau, ragam produk cigar, dan literatur terkait. Pengunjung dapat mengenal lebih jauh warisan budaya tembakau yang pernah menjadi sektor penting di daerah ini.",bin cigar edukasi edukasi jember jl brawijaya no krajan jubung kec sukorambi kabupaten jember jawa timur bin cigar tempat edukasi museum rokok cigar tergantung spesifikasi lokal memperlihatkan sejarah industri tembakau jember teknik pengolahan tembakau ragam produk cigar literatur terkait pengunjung mengenal lebih jauh warisan budaya tembakau pernah menjadi sektor penting daerah,-8.1755,113.6705,08:00,16:00,[Unverified],[Unverified],[Unverified],[Unverified],Google Maps,2026-07-20,Tidak ada data
5,Makam Habib Soleh Tanggul,Religi,Jember,"Krajan, Tanggul Kulon, Kec. Tanggul, Kabupaten Jember, Jawa Timur 68155","Makam Habib Soleh Tanggul merupakan salah satu destinasi wisata religi yang sangat populer di Jawa Timur, terletak di Krajan, Tanggul Kulon, Kec. Tanggul, Kabupaten Jember, Jawa Timur 68155. Makam yang merupakan tempat peristirahatan terakhir bagi Habib Soleh Tanggul, seorang ulama yang sangat dihormati dan kharismatik di kalangan masyarakat Jember, menawarkan pengalaman spiritual yang sangat mendalam dan mengesankan bagi para pengunjung. Suasana yang tenang dan damai di sekitar makam membuat pengunjung merasa lebih dekat dengan Tuhan dan dapat merasakan kehadiran spiritual yang sangat kuat.

Dari luar, makam ini menampakkan bangunan yang sederhana namun megah, dengan arsitektur khas Jawa yang unik dan menarik. Di dalam kompleks makam, pengunjung dapat melihat bangunan-bangunan kecil yang digunakan sebagai tempat ibadah dan tempat-tempat lainnya yang digunakan untuk kegiatan-kegiatan spiritual. Pada hari-hari tertentu, pengunjung juga dapat melihat kegiatan-kegiatan ritual yang dilakukan oleh para pengikut Habib Soleh Tanggul, seperti shalat, doa, dan kegiatan-kegiatan lainnya yang terkait dengan kegiatan spiritual. Di sekitar makam, pengunjung juga dapat menikmati pemandangan yang sangat indah, dengan pohon-pohon rindang dan tanaman-tanaman yang hijau dan segar. Selain itu, pengunjung juga dapat menikmati kegiatan-kegiatan lainnya seperti berkunjung ke tempat-tempat sekitar, seperti kios-kios dan warung-warung yang menjual makanan dan minuman. Aktivitas lainnya yang dapat dilakukan di sini adalah berziarah ke makam Habib Soleh Tanggul, berdoa, dan bermeditasi untuk menenangkan pikiran dan meningkatkan kepekaan spiritual.",assets/images/5.png,"Makam Habib Soleh Tanggul Religi Religi Jember Krajan, Tanggul Kulon, Kec. Tanggul, Kabupaten Jember, Jawa Timur 68155 Makam Habib Soleh Tanggul adalah situs religi dan ziarah di Jember, tempat peristirahatan ulama besar yang dihormati masyarakat setempat. Selain sebagai tempat ibadah dan refleksi spiritual, kawasan ini sering digunakan untuk kegiatan keagamaan, ziarah massa, dan mempelajari warisan dakwah lokal.",makam habib soleh tanggul religi religi jember krajan tanggul kulon kec tanggul kabupaten jember jawa timur makam habib soleh tanggul situs religi ziarah jember tempat peristirahatan ulama besar dihormati masyarakat setempat selain sebagai tempat ibadah refleksi spiritual kawasan sering digunakan kegiatan keagamaan ziarah massa mempelajari warisan dakwah lokal,-8.1634,113.4547,Buka 24 jam,Buka 24 jam,[Unverified],[Unverified],[Unverified],Rp 0,Google Maps,2026-07-20,Tidak ada data
6,Desa Wisata Sidomulyo,Rural Tourism,Jember,"Dusun Krajan RT.01/RW.01, Dusun Krajan, Sidomulyo, Kec. Silo, Kabupaten Jember, Jawa Timur 68118","Terletak di Jawa Timur, Desa Wisata Sidomulyo menawarkan pengalaman wisata yang unik dan menyegarkan di tengah hutan lebat dan sawah hijau. Dengan lokasinya yang terletak di Dusun Krajan, Kecamatan Silo, Kabupaten Jember, desa ini menjadi salah satu destinasi wisata rural yang paling populer di Jawa Timur. Desa Wisata Sidomulyo menawarkan suasana yang tenang dan damai, di mana pengunjung dapat menikmati keindahan alam dan merasakan kehidupan petani di pedesaan yang masih tradisional.

Pemandangan alam di Desa Wisata Sidomulyo sangatlah indah, dengan hutan lebat yang hijau dan sawah yang luas. Pengunjung dapat menikmati keindahan alam ini dengan berjalan-jalan di sepanjang jalan desa yang lebar dan berliku. Selain itu, desa ini juga menawarkan berbagai aktivitas yang dapat dilakukan, seperti bersepeda, berjalan kaki, atau bahkan berlari di sepanjang jalan desa. Pengunjung juga dapat menikmati keanekaragaman hayati di desa ini dengan mengunjungi kebun raya atau kebun buah-buahan. Desa Wisata Sidomulyo juga menawarkan pengalaman wisata budaya yang unik, dengan pengunjung dapat melihat langsung kehidupan petani di pedesaan yang masih tradisional.

Pengunjung dapat menikmati berbagai fasilitas yang tersedia di Desa Wisata Sidomulyo, seperti penginapan, restoran, dan toko-toko kecil yang menjual produk-produk lokal. Desa ini juga menawarkan berbagai acara wisata yang dapat dinikmati, seperti festival musik, festival makanan, atau bahkan festival budaya. Dengan demikian, Desa Wisata Sidomulyo menjadi salah satu destinasi wisata yang paling populer di Jawa Timur, dan merupakan pilihan yang tepat bagi mereka yang ingin menikmati keindahan alam dan kehidupan petani di pedesaan yang masih tradisional.",assets/images/6.png,"Desa Wisata Sidomulyo Rural Tourism Rural Tourism Jember Dusun Krajan RT.01/RW.01, Dusun Krajan, Sidomulyo, Kec. Silo, Kabupaten Jember, Jawa Timur 68118 Desa Wisata Sidomulyo menawarkan pengalaman kehidupan pedesaan Jawa secara autentik — mulai dari interaksi dengan aktivitas pertanian, rumah tradisional, seni dan budaya lokal, hingga suasana tenang alam pedesaan. Cocok bagi wisatawan yang ingin merasakan ketenangan, belajar budaya, dan menikmati alam pedesaan.",desa wisata sidomulyo rural tourism rural tourism jember dusun krajan rt rw dusun krajan sidomulyo kec silo kabupaten jember jawa timur desa wisata sidomulyo menawarkan pengalaman kehidupan pedesaan jawa secara autentik mulai interaksi aktivitas pertanian rumah tradisional seni budaya lokal hingga suasana tenang alam pedesaan cocok wisatawan ingin merasakan ketenangan belajar budaya menikmati alam pedesaan,-8.1256,113.8471,08:00,16:00,[Unverified],[Unverified],[Unverified],Rp 5.000,Google Maps,2026-07-20,Tidak ada data
7,Gunung Gambir,Agrowisata,Jember,"Lanasan RT 03, RW.023, Gelang, Kec. Sumberbaru, Kabupaten Jember, Jawa Timur 68156","Gunung Gambir, sebuah destinasi wisata agrowisata yang terletak di Lanasan, RT 03, RW.023, Gelang, Kec. Sumberbaru, Kabupaten Jember, Jawa Timur 68156, menawarkan pengalaman yang unik dan menyenangkan bagi pengunjung. Terletak di kawasan pedesaan yang tenang dan hijau, Gunung Gambir menawarkan suasana yang nyaman dan damai, membuat pengunjung merasa jauh dari kebisingan kota.

Di sini, pengunjung dapat menikmati pemandangan alam yang indah, dengan sawah-sawah dan perkebunan yang luas. Keindahan alam ini semakin terlihat dengan adanya Gunung Gambir, sebuah gunung kecil yang menjulang tinggi, menambah keindahan pemandangan alam sekitar. Selain itu, pengunjung juga dapat menikmati berbagai aktivitas yang menarik, seperti berjalan-jalan di sekitar kebun, mengunjungi peternakan sapi dan kerbau, serta mencoba berbagai produk hasil pertanian seperti buah-buahan dan sayuran. Untuk mereka yang ingin menghabiskan waktu di luar ruangan, dapat menikmati kegiatan seperti bersepeda, bermain panahan, atau bahkan berkuda. Untuk mereka yang lebih suka kegiatan indoor, dapat menikmati kegiatan seperti membuat kerajinan tangan dari bahan-bahan alami, seperti kayu, bambu, atau anyaman.

Gunung Gambir juga menawarkan pengunjung kesempatan untuk mengenal lebih dekat tentang kehidupan petani dan peternak lokal. Dengan mengunjungi kebun dan peternakan, pengunjung dapat melihat langsung bagaimana proses panen dan pengolahan hasil pertanian dilakukan. Selain itu, pengunjung juga dapat mencoba berbagai hidangan lokal yang terbuat dari bahan-bahan segar dan alami, seperti sayur-sayuran, buah-buahan, dan daging sapi atau kerbau. Dengan demikian, pengunjung dapat merasakan secara langsung kehidupan petani dan peternak lokal, serta menikmati keindahan alam yang masih terjaga di kawasan ini.",assets/images/7.png,"Gunung Gambir Agrowisata Agrowisata Jember Lanasan RT 03, RW.023, Gelang, Kec. Sumberbaru, Kabupaten Jember, Jawa Timur 68156 Gunung Gambir adalah objek agrowisata dan alam di Jember di mana pengunjung bisa trekking ringan, menikmati udara segar, serta melihat panorama alam dari puncak. Daerah ini juga bisa menjadi lokasi edukasi tanaman, konservasi alam, atau piknik alam terbuka.",gunung gambir agrowisata agrowisata jember lanasan rt rw gelang kec sumberbaru kabupaten jember jawa timur gunung gambir objek agrowisata alam jember mana pengunjung bisa trekking ringan menikmati udara segar melihat panorama alam puncak daerah bisa menjadi lokasi edukasi tanaman konservasi alam piknik alam terbuka,-8.0156,113.4372,07:00,16:00,[Unverified],[Unverified],[Unverified],Rp 10.000,Google Maps,2026-07-20,Tidak ada data
8,Pemandian Kebon Agung,Rekreasi,Jember,"Gebang Taman, Kb. Agung, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131","Pemandian Kebon Agung merupakan salah satu destinasi wisata rekreasi yang menawarkan pengalaman liburan yang unik dan menyegarkan di Jember, Jawa Timur. Terletak di Gebang Taman, Kb. Agung, Kec. Kaliwates, Kabupaten Jember, 68131, tempat ini menawarkan suasana yang sejuk dan asri, dengan pemandangan hutan yang hijau dan aliran air yang jernih. Pemandian Kebon Agung didesain untuk menyediakan fasilitas yang lengkap dan nyaman bagi pengunjung, sehingga mereka dapat menikmati liburan dengan tenang dan nyaman.

Suasana di Pemandian Kebon Agung sangat menenangkan, dengan udara yang segar dan suara air yang mengalir. Pengunjung dapat menikmati pemandangan hutan yang hijau dan aliran air yang jernih, yang membuat mereka merasa lebih dekat dengan alam. Selain itu, tempat ini juga menawarkan berbagai fasilitas yang lengkap, seperti kolam renang, waterboom, dan fasilitas outbound. Pengunjung dapat menikmati aktivitas air seperti berenang, bermain air, dan berwisata air, serta aktivitas outbound seperti hiking, camping, dan bermain paintball. Selain itu, pengunjung juga dapat menikmati berbagai macam kuliner yang lezat dan segar, seperti makanan khas Jember dan minuman segar.

Pemandian Kebon Agung juga menawarkan berbagai kegiatan yang dapat dilakukan oleh pengunjung, seperti: - Berenang dan bermain air di kolam renang dan waterboom - Berwisata air di aliran air yang jernih - Hiking dan camping di hutan yang hijau - Bermain paintball dan outbound - Menikmati kuliner khas Jember dan minuman segar - Mengunjungi tempat-tempat wisata lainnya di sekitar Pemandian Kebon Agung. Dengan fasilitas yang lengkap dan kegiatan yang menarik, Pemandian Kebon Agung merupakan tempat wisata rekreasi yang sangat cocok untuk dikunjungi.",assets/images/8.png,"Pemandian Kebon Agung Rekreasi Rekreasi Jember Gebang Taman, Kb. Agung, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131 Pemandian Kebon Agung adalah tempat rekreasi air di tengah kota Jember, dengan kolam alami atau buatan yang dikelilingi pepohonan dan area hijau. Cocok untuk refreshing keluarga dan melepas penat di tengah suasana alam kota.",pemandian kebon agung rekreasi rekreasi jember gebang taman kb agung kec kaliwates kabupaten jember jawa timur pemandian kebon agung tempat rekreasi air tengah kota jember kolam alami buatan dikelilingi pepohonan area hijau cocok refreshing keluarga melepas penat tengah suasana alam kota,-8.1565,113.693,07:00,17:00,[Unverified],[Unverified],[Unverified],Rp 10.000,Google Maps,2026-07-20,Tidak ada data
9,Pantai Pancer,Pantai,Jember,"Manderan II, Puger Kulon, Kec. Puger, Kabupaten Jember, Jawa Timur 68164","Pantai Pancer di Jember, Jawa Timur, adalah salah satu destinasi wisata pantai yang paling populer dan menarik di daerah tersebut. Terletak di Manderan II, Puger Kulon, Kecamatan Puger, Kabupaten Jember, pantai ini menawarkan pemandangan alam yang indah dan suasana yang tenang. Dengan pasir putih yang halus dan air laut yang jernih, Pantai Pancer merupakan tempat yang sempurna untuk menghabiskan waktu bersama keluarga atau teman-teman.

Pantai Pancer menawarkan berbagai aktivitas yang dapat dilakukan, salah satunya adalah berenang dan bermain air. Dengan ombak yang lembut, pantai ini sangat cocok untuk berenang dan bermain air dengan anak-anak. Selain itu, pantai ini juga menawarkan kegiatan seperti bersepeda, berlari, atau sekedar duduk-duduk menikmati pemandangan laut. Jika Anda ingin mencari pengalaman yang lebih menantang, Anda dapat mencoba berenang ke gundukan batu karang yang ada di sekitar pantai. Pemandangan di sekitar pantai juga sangat indah, dengan bukit-bukit hijau yang menutupi pantai dan langit biru yang terlihat sangat anggun.

Di sekitar pantai, Anda dapat menemukan berbagai fasilitas yang dapat memuaskan kebutuhan wisata Anda. Fasilitas seperti warung makan, toilet, dan tempat parkir yang luas dapat ditemukan di sekitar pantai. Selain itu, Anda juga dapat menemukan tempat-tempat penginapan atau homestay yang dapat menjadi pilihan untuk menginap. Jika Anda ingin mencari pengalaman yang lebih unik, Anda dapat mencoba berbagai hidangan laut yang dapat ditemukan di sekitar pantai, seperti ikan bakar atau udang rebus. Dengan demikian, Pantai Pancer menjadi destinasi wisata yang sempurna untuk menghabiskan waktu bersama keluarga atau teman-teman.",assets/images/9.png,"Pantai Pancer Pantai Pantai Jember Manderan II, Puger Kulon, Kec. Puger, Kabupaten Jember, Jawa Timur 68164 Pantai Pancer merupakan pantai tenang di Jember dengan kombinasi pasir dan formasi batu, pemandangan laut lepas, serta suasana yang lebih sepi dibandingkan pantai populer, ideal untuk berjalan santai, memancing, menyaksikan sunrise/sunset, atau menikmati suasana pantai yang damai.",pantai pancer pantai pantai jember manderan ii puger kulon kec puger kabupaten jember jawa timur pantai pancer merupakan pantai tenang jember kombinasi pasir formasi batu pemandangan laut lepas suasana lebih sepi dibandingkan pantai populer ideal berjalan santai memancing menyaksikan sunrise sunset menikmati suasana pantai damai,-8.3842,113.3855,Buka 24 jam,Buka 24 jam,[Unverified],[Unverified],[Unverified],Rp 10.000,Google Maps,2026-07-20,Tidak ada data
