id,nama,kelas,alamat,kecamatan,lat,long,harga,fasilitas,kontak,sumber,tanggal_verifikasi
1,Aston Jember Hotel & Conference Center,Hotel Bintang 4,Jl. Sentot Prawirodirjo No. 88,Kaliwates,-8.1825,113.6821,Rp 600.000 - Rp 900.000,"Kolam Renang, Gym, Restoran, WiFi, Ruang Rapat",(0331) 423888,"Google Maps, Traveloka",2026-07-21
2,Luminor Hotel Jember,Hotel Bintang 3,Jl. KH. Agus Salim No. 28,Kaliwates,-8.1729,113.6948,Rp 400.000 - Rp 650.000,"Restoran 24 Jam, WiFi, Layanan Kamar",(0331) 333666,"Google Maps, Agoda",2026-07-21
3,Java Lotus Hotel Jember,Hotel Bintang 4,Jl. Gatot Subroto No. 47,Kaliwates,-8.1738,113.6931,Rp 500.000 - Rp 800.000,"Kolam Renang Rooftop, Gym, Restoran, WiFi",(0331) 5102777,"Google Maps, TripAdvisor",2026-07-21
4,Meotel Jember by Dafam,Hotel Bintang 3,Jl. Karimata No. 43,Sumbersari,-8.1633,113.7145,Rp 350.000 - Rp 500.000,"Kolam Renang, Kafe Retro, WiFi, Parkir",(0331) 321888,"Google Maps, Traveloka",2026-07-21
5,Cempaka Hill Hotel Jember,Hotel Bintang 3,Jl. Cempaka No. 50,Patrang,-8.1502,113.7042,Rp 300.000 - Rp 500.000,"Kolam Renang Indoor, Pusat Kebugaran, Spa, WiFi",(0331) 424244,"Google Maps, TripAdvisor",2026-07-21
6,Hotel 88 Jember,Hotel Bintang 2,Jl. Diponegoro No. 43,Kaliwates,-8.1713,113.6969,Rp 250.000 - Rp 350.000,"Restoran, WiFi, Layanan Kamar 24 Jam",(0331) 422888,"Google Maps, Traveloka",2026-07-21
7,Bintang Mulia Hotel & Resto,Hotel Bintang 3,Jl. Nusantara No. 18,Kaliwates,-8.1782,113.6738,Rp 350.000 - Rp 550.000,"Kolam Renang Besar, Taman, Restoran Luas, WiFi",(0331) 425222,"Google Maps, Agoda",2026-07-21
8,JC Homestay,Homestay,Jl. Sunan Drajat No. 31,Kaliwates,-8.1812,113.6934,Rp 150.000 - Rp 250.000,"Kamar AC, TV, WiFi, Parkir Aman",0812-3344-5566,Google Maps,2026-07-21
9,Doho Homestay,Homestay,Jl. Doho No. 8,Sumbersari,-8.1678,113.7156,Rp 100.000 - Rp 200.000,"Kamar Kipas/AC, Kamar Mandi Dalam, Ruang Santai",0852-5555-7777,Google Maps,2026-07-21
10,Dira Hotel Kencong,Hotel/Guest House,Kawasan Dira Park Kencong,Kencong,-8.2612,113.3662,Rp 250.000 - Rp 400.000,"Akses Waterpark, Restoran, AC, TV",[Unverified],Google Maps,2026-07-21
11,Ebizz Guest House,Guest House,Jl. Kalimantan No. 4,Sumbersari,-8.1634,113.7161,Rp 150.000 - Rp 300.000,"AC, WiFi, Parkir Luas, Dekat Kampus Unej",(0331) 333111,"Google Maps, Traveloka",2026-07-21
12,Tanjung Papuma Resort,Resort Alam,Kawasan Pantai Papuma,Ambulu,-8.4239,113.5658,Rp 350.000 - Rp 600.000,"View Pantai, AC, Teras Pribadi",[Unverified],Situs Resmi Perhutani,2026-07-21
13,Hotel Rembangan,Hotel/Resort,Puncak Rembangan,Arjasa,-8.0933,113.6823,Rp 200.000 - Rp 450.000,"Kolam Renang, View Pegunungan, Restoran",[Unverified],Google Maps,2026-07-21
14,Flamboyan Guest House,Guest House,Jl. Flamboyan,Patrang,-8.1555,113.7051,Rp 120.000 - Rp 250.000,"AC, TV, Lingkungan Tenang",[Unverified],Google Maps,2026-07-21
15,Istana Hotel Jember,Hotel Bintang 2,Jl. Diponegoro No. 43,Kaliwates,-8.1701,113.6961,Rp 200.000 - Rp 350.000,"AC, TV, Restoran Kecil",(0331) 422000,Google Maps,2026-07-21
