Kecamatan  Subdistrict,"Umur 
Age",,,,,,,,,,,,,,,,,,
,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,>=75,Jumlah,,
1. Kencong,3848,6197,6588,6638,6866,6670,6520,7389,6847,7197,6775,5676,4570,3187,2192,2560,89720,,
2. Gumukmas,5694,8941,9256,9549,10454,9712,8916,9902,9369,9976,9331,8020,6259,4514,3217,3660,126770,,
3. Puger,2596,3663,3835,4010,4338,4025,3608,3915,3650,3611,3477,3087,2634,2053,1475,1766,51743,,
4. Wuluhan,4747,6438,6575,6365,7000,6842,6351,6399,6077,5847,5648,4715,3825,2859,1959,2423,84070,,
5. Ambulu,4341,6374,6665,6843,7464,6799,5926,6595,6337,6595,6169,5313,4400,3178,2279,2860,88138,,
6. Tempurejo,4702,6896,7366,7305,7837,7236,6742,7364,6869,7052,6516,5471,4558,3296,2374,2921,94505,,
7. Silo,8114,10154,10579,10266,10801,10906,10083,10076,9189,9030,8954,7586,6283,4562,3033,3826,133442,,
8. Mayang,3130,4466,4817,4926,5081,4702,4510,5064,4656,4523,4578,3747,3028,2290,1846,2326,63690,,
9. Mumbulsari,2507,3375,3530,3425,3790,3533,3247,3526,3257,3250,3187,2692,2185,1704,1211,1585,46004,,
10. Jenggawah,2554,3961,4074,4240,4416,4080,3779,4307,4176,4569,4323,3696,3028,2158,1552,1788,56701,,
11. Ajung,5352,9167,9464,9630,9668,9138,9083,9563,8731,8432,7852,6290,5316,3651,2607,3175,117119,,
12. Rambipuji,4127,5964,6411,6370,6755,6205,5642,6485,6105,6126,5810,5401,4270,3041,2085,2692,83489,,
13. Balung,4398,6739,6869,7084,7831,7255,6583,6819,6522,6778,6235,5160,4029,3130,2169,2414,90015,,
14. Umbulsari,5591,8455,8683,8959,9331,8881,8227,9138,8906,9562,8969,7663,5623,4429,2830,3542,118789,,
15. Semboro,5420,8314,8805,8693,9306,8443,8037,8553,8410,8497,7807,6219,5017,3611,2552,2962,110646,,
16. Jombang,3123,4962,5145,5413,5515,5397,4652,5521,5238,5956,5568,4915,4019,2766,1834,2196,72220,,
17. Sumberbaru,5392,8981,9596,9811,10362,9552,9064,10082,9535,9758,9031,7748,6073,4210,3088,3337,125620,,
18. Tanggul,4127,6163,6387,6233,6466,6006,5788,6497,6021,6178,5518,4852,3859,2792,1907,2242,81036,,
19. Bangsalsari,3691,5088,5290,5260,6108,5502,5149,5015,4588,4776,4531,4017,3399,2607,1820,2280,69121,,
20. Panti,3929,5530,5988,6010,6055,5931,5242,6304,6011,6452,6083,5194,3981,2849,2052,2570,80181,,
21. Sukorambi,2589,3643,3889,3746,3800,3612,3324,3994,3726,3762,3610,3161,2686,1872,1305,1635,50354,,
22. Arjasa,2275,3107,3271,3218,3527,3262,3156,3342,3167,2948,2823,2388,2071,1397,973,1228,42153,,
23. Pakusari,4612,5692,6290,6385,6503,6128,5470,5917,5865,5659,5210,4541,3784,2914,2227,2920,80117,,
24. Kalisat,3445,4274,4456,4490,4859,4410,4313,4757,4449,4487,4214,3569,3113,2339,1766,2343,61284,,
25. Ledokombo,1666,2245,2557,2501,2737,2501,2352,2609,2369,2504,2247,1865,1565,1247,879,1100,32944,,
26. Sumberjambe,5825,7719,8035,7822,8066,7711,7432,7861,7519,7121,6849,5695,4813,3794,2504,3354,102120,,
27. Sukowono,7480,9816,10225,9970,9961,9050,9034,9701,9578,8909,8524,6958,5606,4106,2764,3449,125131,,
28. Jelbuk,3581,5021,5370,5371,5607,5243,4841,5352,5073,5069,4682,4044,3441,2584,1856,2616,69751,,
29. Kaliwates,5950,9367,9900,9638,10347,9617,9094,9739,9523,9434,8889,7421,6206,4424,3089,3720,126358,,
30. Sumbersari,2223,2986,3209,3263,3477,3172,3037,3281,3085,3101,2888,2369,2076,1403,1051,1259,41880,,
31. Patrang,3307,5046,5078,5237,5467,4981,4625,5208,4773,4724,4521,3807,3312,2344,1729,2216,66375,,
Jumlah,126486,182544,191611,192028,202923,189825,177299,192877,182764,184675,174032,147591,120445,88109,62017,76388,2491748,,
