Kecamatan  Subdistrict,"Umur 
Age",,,,,,,,,,,,,,,,,,
,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,>=75,Jumlah,,
1. Kencong,3500,4702,5191,4838,5611,5037,4794,4703,5432,5297,5772,4964,4292,2913,2097,2184,71327,,
2. Gumukmas,4485,6136,6643,6183,6691,6250,6245,6362,7048,6658,7054,5893,5025,3484,2515,2740,89412,,
3. Puger,6449,8740,9595,8683,9952,9019,9006,9006,9749,9294,9460,7992,6651,4515,3632,3753,125496,,
4. Wuluhan,6748,8682,9190,8663,10128,9465,9016,8984,9704,9443,10002,8363,6967,5027,3749,4295,128426,,
5. Ambulu,6572,8151,9028,8254,9139,8489,8423,8405,9311,8950,9429,7973,6428,4707,3438,3963,120660,,
6. Tempurejo,4586,5966,6435,5716,6390,5657,5724,5794,6360,5863,5945,4810,4348,3035,2327,2559,81515,,
7. Silo,6284,8376,8741,7778,8767,8112,7837,8110,8432,8161,8247,6653,5508,3889,3016,3381,111292,,
8. Mayang,2951,3715,3919,3483,4246,3846,3892,3586,3767,3530,3574,3190,2818,2246,1641,2146,52550,,
9. Mumbulsari,4005,5337,5324,4656,5733,5356,5305,4991,4736,4483,4674,4121,3642,2767,2204,2684,70018,,
10. Jenggawah,5233,6691,6976,6318,7511,7035,6734,6312,6726,6489,6556,5412,4550,3299,2565,2768,91175,,
11. Ajung,5165,6553,6723,5837,6813,6487,6565,6191,6307,5756,5885,5058,4128,3050,2341,2803,85662,,
12. Rambipuji,5018,6261,6751,6039,7192,6543,6183,5873,6629,6167,6487,5398,4773,3395,2546,3171,88426,,
13. Balung,4663,5987,6279,5911,6680,5961,5791,5871,6369,5799,6121,5474,4618,3310,2424,2982,84240,,
14. Umbulsari,4129,5448,5812,5639,6042,5654,5296,5440,6103,5960,6275,5359,4394,2932,2259,2505,79247,,
15. Semboro,2729,3498,3918,3594,3787,3402,3284,3504,3803,3571,3692,3170,2879,2016,1440,1762,50049,,
16. Jombang,2870,3834,4163,3822,4351,3984,3744,3717,4209,4136,4499,3851,3235,2316,1688,1810,56229,,
17. Sumberbaru,6553,9385,9705,8486,9159,8267,8431,8713,8578,8133,7808,6763,5588,3899,2894,3330,115692,,
18. Tanggul,5254,6996,7405,6443,7508,6921,6444,6628,6836,6821,6643,5615,4939,3588,2673,3207,93921,,
19. Bangsalsari,6917,9567,9977,8960,9866,9113,9111,9068,9473,9339,9144,7731,6828,4805,3696,4293,127888,,
20. Panti,3805,5112,5169,4572,5380,4722,4709,4802,4973,4562,4717,3970,3480,2504,1961,2495,66933,,
21. Sukorambi,2578,3142,3160,2876,3394,3185,3106,3004,3188,3113,3002,2413,2189,1569,1100,1397,42416,,
22. Arjasa,2424,3071,3335,2813,3457,3161,3213,3150,3308,2955,2854,2545,2163,1627,1135,1386,42597,,
23. Pakusari,2751,3329,3586,3151,3661,3495,3325,3273,3433,3103,3299,2805,2474,1831,1411,1899,46826,,
24. Kalisat,5015,5616,6237,5546,6558,5916,5671,5403,6003,5612,5445,4610,4133,3028,2487,3407,80687,,
25. Ledokombo,4059,4911,5326,4928,5474,4993,4850,4910,5230,4971,4988,4064,3746,2783,2198,3024,70455,,
26. Sumberjambe,3681,4419,4783,4283,4903,4527,4467,4803,4938,4417,4787,3986,3351,2554,2044,2822,64765,,
27. Sukowono,3793,4180,4529,4001,4848,4347,4247,4532,4638,4364,4405,3709,3407,2494,2057,2784,62335,,
28. Jelbuk,2067,2153,2483,2263,2792,2397,2448,2469,2540,2414,2367,1994,1672,1320,1047,1266,33692,,
29. Kaliwates,7674,9585,10265,9542,10029,9358,9198,9160,9880,8825,8725,7463,6054,4430,3142,3826,127156,,
30. Sumbersari,8686,10362,10779,9842,10582,10789,10782,9860,9792,8721,9042,7861,6725,4937,3531,4237,136528,,
31. Patrang,6117,7623,8217,7121,8004,7717,7504,7397,7958,6946,7008,5923,5062,3949,2832,3670,103048,,
Jumlah,146761,187528,199644,180241,204648,189205,185345,184021,195453,183853,187906,159133,136067,98219,74090,88549,2600663,,
